categoria,award,clase,pagina,archivo,ancho_pt,alto_pt
Nature,Habitats (Formerly Habitat),Helping Hands,217,habitats-formerly-habitat.png,131.8,71.3
Nature,Honey,Busy Bee,219,honey.png,98.0,65.8
Nature,Honeybees (Formerly Honeybee),Helping Hands,221,honeybees-formerly-honeybee.png,98.0,66.1
Nature,Insects,Little Lamb,223,insects.png,98.0,65.8
Nature,Ladybugs (Formerly Ladybug),Sunbeam,225,ladybugs-formerly-ladybug.png,98.0,65.8
Nature,Lizards,Builder,227,lizards.png,98.0,65.8
Nature,Outdoor Explorer,Helping Hands,229,outdoor-explorer.png,119.0,65.8
Nature,Pets,Early Bird,231,pets.png,98.0,65.8
Nature,Potatoes (Formerly Potato),Busy Bee,233,potatoes-formerly-potato.png,98.0,65.8
Nature,Safe Water,Helping Hands,235,safe-water.png,98.0,65.8
Nature,Sand Art,Busy Bee,237,sand-art.png,98.0,65.8
Nature,Saving Animals,Builder,239,saving-animals.png,98.0,65.8
Nature,Scavenger Hunt,Early Bird,241,scavenger-hunt.png,90.3,67.2
Nature,Seasons,Sunbeam,243,seasons.png,98.0,65.8
Nature,Seeds (Formerly Seed),Sunbeam,245,seeds-formerly-seed.png,98.0,65.8
Nature,Stars,Little Lamb,247,stars.png,98.0,65.8
Nature,Trees,Sunbeam,249,trees.png,98.0,65.8
Nature,Weather I,Little Lamb,253,weather-i.png,90.4,66.2
Nature,Weather II,Helping Hands,255,weather-ii.png,98.0,65.8
Nature,Whales (Formerly Whale),Sunbeam,257,whales-formerly-whale.png,98.0,65.8
Nature,Wooly Lamb,Little Lamb,259,wooly-lamb.png,98.0,65.8
Nature,Zoo Animals,Little Lamb,263,zoo-animals.png,98.0,65.8
Recreation,Archer (Formerly Archery),Helping Hands,269,archer-formerly-archery.png,98.0,65.8
Recreation,Basic Knots (Formerly Knot Tying),Helping Hands,271,basic-knots-formerly-knot-tying.png,98.0,65.8
Recreation,Camper,Sunbeam,273,camper.png,98.0,65.8
Recreation,Canoer (Formerly Canoeing),Builder,275,canoer-formerly-canoeing.png,130.7,82.1
Recreation,Caring Friend,Builder,277,caring-friend.png,98.0,65.8
Recreation,Cyclist I (Formerly Beginning Biking),Early Bird,279,cyclist-i-formerly-beginning-biking.png,105.8,70.9
Recreation,Cyclist II (Formerly Cyclist),Builder,281,cyclist-ii-formerly-cyclist.png,104.4,70.0
Recreation,First Aid Helper,Builder,283,first-aid-helper.png,98.0,65.8
Recreation,Fitness Fun,Sunbeam,285,fitness-fun.png,98.0,65.8
Recreation,Guide,Busy Bee,287,guide.png,98.0,65.8
Recreation,Gymnast,Builder,289,gymnast.png,98.0,65.8
Recreation,Left and Right,Early Bird,293,left-and-right.png,98.0,65.8
